src: https://github.com/vesa-org/DisplayHDRTest-v1.2/blob/master/Game.cpp
  1, 1, 'A', 0xF4F6F3,  0.498834, 0.499625, 0.497344,  86.533211290, 91.585525820, 97.878649400,
  2, 1, 'B', 0x818181,  0.364688, 0.364859, 0.365180,  20.792432080, 21.884200640, 23.925671570,
  3, 1, 'C', 0x3C3C3B,  0.240312, 0.240033, 0.239499,   4.256057219,  4.474643989,  4.833733497,
 16, 2, 'B', 0x933E6E,  0.359104, 0.268128, 0.332106,  16.526303580, 10.753371090, 16.008163310,
 17, 2, 'C', 0x55445F,  0.283570, 0.261789, 0.306806,   7.899895441,  6.898727382, 11.774254880,
 18, 2, 'D', 0xCCD6E3,  0.462816, 0.468296, 0.480466,  62.735330580, 66.451241440, 82.240083590,
 19, 2, 'E', 0x765446,  0.330253, 0.294836, 0.267084,  11.750768390, 10.590861790,  7.186192248,
 20, 2, 'F', 0xC59482,  0.431643, 0.396995, 0.371157,  37.583017980, 34.669699420, 25.836393250,
 21, 2, 'G', 0x5F7B9D,  0.333089, 0.353966, 0.399236,  17.837678130, 18.961502280, 34.681355200,
 22, 2, 'H', 0x5A6E42,  0.313280, 0.333256, 0.266624,  10.832807340, 13.750247450,  7.303778533,
 23, 2, 'I', 0x8280AF,  0.369187, 0.365089, 0.420534,  24.670403040, 23.327084940, 43.628533060,
 24, 2, 'J', 0x65BEAD,  0.383048, 0.437697, 0.423882,  31.263243540, 42.546305730, 45.948413660,
 25, 2, 'K', 0xF2CFB8,  0.483620, 0.464457, 0.440228,  67.553141900, 67.104629060, 54.824288420,
 26, 2, 'L', 0x6E3D46,  0.311767, 0.254055, 0.263454,   9.248634896,  7.123491009,  6.742289138,
 27, 2, 'M', 0xBC3F64,  0.403831, 0.284703, 0.318748,  24.886900670, 15.231543150, 13.686284150,
 30, 3, 'B', 0xB88BB9,  0.420486, 0.384844, 0.433509,  37.638886490, 32.008638080, 50.160484400,
 31, 3, 'C', 0x7266A6,  0.341450, 0.326192, 0.408593,  18.644913870, 15.907477420, 38.201392190,
 32, 3, 'D', 0xEFCDD6,  0.482344, 0.462548, 0.468715,  69.637304040, 67.011486060, 73.044700990,
 33, 3, 'E', 0xDF7F33,  0.446294, 0.375568, 0.261945,  38.524340580, 31.114525100,  7.148722041,
 34, 3, 'F', 0x4B5EAB,  0.298593, 0.308490, 0.413195,  14.222416490, 12.384797420, 40.058298340,
 35, 3, 'G', 0xC35561,  0.413632, 0.315869, 0.317071,  27.841684530, 18.923019180, 13.524133140,
 36, 3, 'H', 0x5C3F6B,  0.291663, 0.253529, 0.325210,   8.848467026,  6.856047893, 14.710645450,
 37, 3, 'I', 0xA1BE44,  0.417937, 0.439934, 0.302363,  34.063394940, 44.746591560, 12.372120840,
 38, 3, 'J', 0xE2A22D,  0.456973, 0.415694, 0.269431,  44.613171700, 42.127022240,  8.225577179,
 39, 3, 'K', 0xC6EBD5,  0.466355, 0.486926, 0.469523,  64.899359280, 76.071553550, 74.137955910,
 40, 3, 'L', 0xCA3C3C,  0.416690, 0.285280, 0.254187,  26.901992700, 16.175839940,  6.031991297,
 41, 3, 'M', 0x603C50,  0.293062, 0.247799, 0.280432,   7.891606323,  6.263674361,  8.412485400,
 44, 4, 'B', 0x7C3B91,  0.334272, 0.257589, 0.380366,  14.984765510,  9.453061058, 27.850117650,
 45, 4, 'C', 0x324A74,  0.247897, 0.269742, 0.338992,   6.899378575,  6.859692772, 17.368376520,
 46, 4, 'D', 0xB0E0D5,  0.448749, 0.475551, 0.468542,  56.546648740, 67.176637550, 73.170544650,
 47, 4, 'E', 0x364191,  0.251805, 0.254680, 0.380224,   8.563477857,  6.664989920, 27.799448970,
 48, 4, 'F', 0x47974B,  0.329089, 0.389127, 0.292306,  14.858863500, 23.829750370, 10.461868100,
 49, 4, 'G', 0xB3323E,  0.391908, 0.262092, 0.253351,  20.698947040, 12.250337220,  5.902634969,
 50, 4, 'H', 0xEBC821,  0.474327, 0.455687, 0.280104,  55.123904260, 58.969821910,  9.885304636,
 51, 4, 'I', 0xBF5696,  0.411869, 0.317747, 0.390308,  30.256590580, 19.922766010, 31.288718640,
 52, 4, 'J', 0x008AA9,  0.288986, 0.371841, 0.414080,  15.367801500, 20.604087770, 40.791705610,
 53, 4, 'K', 0xDBD3E0,  0.471163, 0.466250, 0.478069,  65.832282760, 66.887123200, 80.264910000,
 54, 4, 'L', 0xCF8295,  0.435661, 0.376770, 0.392828,  39.022037260, 31.281204360, 32.516169310,
 55, 4, 'M', 0xBD3749,  0.402886, 0.273609, 0.274269,  23.574967010, 14.052860450,  7.823662074,
 58, 5, 'B', 0x1589CC,  0.309459, 0.371737, 0.451158,  20.087209920, 22.344742210, 60.110134410,
 59, 5, 'C', 0x55A2CB,  0.358090, 0.406097, 0.452458,  27.505824980, 32.203205660, 61.229380280,
 60, 5, 'D', 0xF1CECA,  0.483452, 0.463290, 0.457837,  69.059715320, 67.146317300, 65.498748310,
 62, 5, 'F', 0xC8C8C9,  0.454365, 0.454102, 0.454591,  55.059386940, 57.830193630, 63.228199920,
 63, 5, 'G', 0xA3A4A5,  0.411982, 0.412326, 0.413178,  35.241397610, 37.093821930, 40.779328730,
 65, 5, 'I', 0x626262,  0.315105, 0.315390, 0.316092,  11.556000200, 12.163244770, 13.364081910,
 66, 5, 'J', 0x434445,  0.257156, 0.258030, 0.260185,   5.464348778,  5.756852478,  6.462477420,
 67, 5, 'K', 0xB4DCE2,  0.450069, 0.472251, 0.479783,  58.061821080, 66.239982950, 81.760975930,
 68, 5, 'L', 0xD58482,  0.441048, 0.379923, 0.370181,  39.789279170, 32.226929400, 25.408667110,
